Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Dorian Thomas (44252965),Dorian Thomas,44252965,WR/FLEX/S-FLEX,3300,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0.9,
WR,Jaylen Elder (44252969),Jaylen Elder,44252969,WR/FLEX/S-FLEX,3300,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,Q
WR,Juju Preston (44252973),Juju Preston,44252973,WR/FLEX/S-FLEX,3200,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,1.7,
WR,Brock Schott (44252977),Brock Schott,44252977,WR/FLEX/S-FLEX,3200,NW@IU 09/25/2026 08:00PM ET,IU,1.2,
WR,Taimane Purcell (44252982),Taimane Purcell,44252982,WR/FLEX/S-FLEX,3200,CLEM@CAL 09/25/2026 10:30PM ET,CAL,1.8,
WR,Mark Hamper (44252986),Mark Hamper,44252986,WR/FLEX/S-FLEX,3200,CLEM@CAL 09/25/2026 10:30PM ET,CAL,2.6,
WR,Theo Elwell (44252990),Theo Elwell,44252990,WR/FLEX/S-FLEX,3200,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Antonio Ferguson (44252994),Antonio Ferguson,44252994,WR/FLEX/S-FLEX,3200,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Tristan Smith (44253000),Tristan Smith,44253000,WR/FLEX/S-FLEX,3100,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0.5,
WR,Andrew Barker (44253004),Andrew Barker,44253004,WR/FLEX/S-FLEX,3100,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Alex Honig (44253008),Alex Honig,44253008,WR/FLEX/S-FLEX,3100,NW@IU 09/25/2026 08:00PM ET,NW,5.3,
WR,Ricky Ahumaraeze (44253013),Ricky Ahumaraeze,44253013,WR/FLEX/S-FLEX,3100,NW@IU 09/25/2026 08:00PM ET,NW,3,
WR,Jake Norris (44253017),Jake Norris,44253017,WR/FLEX/S-FLEX,3100,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Scott Isacks (44253022),Scott Isacks,44253022,WR/FLEX/S-FLEX,3100,NAVY@UAB 09/25/2026 07:00PM ET,UAB,2,
WR,AJ Johnson (44253026),AJ Johnson,44253026,WR/FLEX/S-FLEX,3100,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Logan Brooking (44253030),Logan Brooking,44253030,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Charlie Johnson (44253034),Charlie Johnson,44253034,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Tayveon Wilson (44253038),Tayveon Wilson,44253038,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Jack Wolf (44253042),Jack Wolf,44253042,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
